LeakID,MaxExCH4,Date,HoursSinceJan1,DaysSinceJan1,FracDay
4,1.298267958,20170321,1905.098286,79.37909525,0.379095249999992
4,0.547421788,20170321,1905.258251,79.3857604583333,0.385760458333337
4,0.409929972,20170321,1905.270875,79.3862864583333,0.386286458333331
4,0.863318703,20170321,1905.273526,79.3863969166667,0.386396916666669
4,0.53716696,20170321,1905.27616,79.3865066666667,0.386506666666662
4,0.650066869,20170321,1905.285154,79.3868814166667,0.386881416666668
4,0.465643103,20170321,1905.289008,79.387042,0.387041999999994
4,0.265311648,20170321,1905.88645,79.4119354166667,0.411935416666665
4,0.262530924,20170321,1906.144713,79.422696375,0.422696375000001
4,0.30134636,20170329,2098.894903,87.4539542916667,0.453954291666662
4,0.424829443,20170329,2098.898725,87.4541135416667,0.454113541666672
4,0.525088244,20170329,2101.97173,87.5821554166667,0.58215541666668
